customer_id,age,monthly_txn_count,monthly_txn_volume,unusual_txn_flag,product_risk_score,pep_flag,adverse_media_flag,high_risk_jurisdiction,risk_score,risk_class,country_risk_Low,country_risk_Medium,txn_intensity,high_volume_flag,pep_high_risk_interaction,media_pep_combo,behavioural_risk_score
1,0.9314670121629842,0.6448723430117265,1.792729196091269,0,1,0,0,0,0.0,Low,1.0,0.0,1.1696276894228823,0,0,0,0.0
2,-0.984769460199622,1.0912434532849506,0.8000862693630266,0,1,0,0,0,0.0,Low,1.0,0.0,0.2719931959873967,0,0,0,0.0
3,1.3975785865214558,-1.1406120980811698,-0.6571553544596782,0,1,0,0,0,0.0,Low,1.0,0.0,-0.4270143477075503,0,0,0,0.0
4,-0.6740284106273075,-1.3637976532177818,1.3749095737452979,0,1,0,0,0,0.0,Low,1.0,0.0,2.140518922584138,0,0,0,0.0
5,-0.5186578858411502,-0.024684322398109648,0.03097161466667327,0,2,0,0,0,0.0,Low,0.0,1.0,-0.030005125675838372,0,0,0,0.0
6,-1.606251559344251,0.6448723430117265,1.0917351565857285,0,1,0,0,0,0.0,Low,0.0,1.0,0.6287239348763568,0,0,0,0.0
7,-0.6222382356985884,0.6448723430117265,0.2240059185880577,0,3,0,0,0,0.0,Low,1.0,0.0,-0.04083668377570152,0,0,0,0.0
8,0.9832571870917033,-0.6942409878079457,2.3243891996186528,0,1,0,0,0,0.0,Low,1.0,0.0,2.542577889554918,0,0,0,0.0
9,-1.65804173427297,1.0912434532849506,-0.9510499762491099,0,1,0,0,0,0.0,Low,1.0,0.0,-0.9752854923544854,0,0,0,0.0
10,-0.20791683626883573,-0.6942409878079457,-0.397893066994914,0,3,0,1,0,0.2,Low,1.0,0.0,-0.25819285591457425,0,0,1,0.0
11,0.20640456316091696,0.8680578981483386,0.44040151165014374,0,1,0,0,0,0.0,Low,1.0,0.0,0.0687634885635996,0,0,0,0.0
12,-1.65804173427297,-0.4710554326713337,-0.08008631551067691,0,2,0,0,0,0.0,Low,0.0,1.0,-0.0036985903428888114,0,0,0,0.0
13,1.5529491113076133,-0.024684322398109648,-0.8635934451975835,0,1,0,0,0,0.0,Low,1.0,0.0,-0.8188825887351296,0,0,0,0.0
14,1.3457884115927368,-0.9174265429445578,2.0797736212463356,0,1,0,0,0,0.0,Low,1.0,0.0,2.5026252484952627,0,0,0,0.0
15,-0.6740284106273075,-1.1406120980811698,-0.2822306747499286,0,1,0,0,0,0.0,Low,1.0,0.0,0.0069369175632738355,0,0,0,0.0
16,-0.052546311482678465,1.7608001186947866,0.9295761719276899,0,2,0,0,0,0.0,Low,1.0,0.0,0.19120942183788162,0,0,0,0.0
17,1.2422080617352986,1.3144290084215626,0.3395694420156399,0,1,0,0,0,0.0,Low,1.0,0.0,-0.10239750076034089,0,0,0,0.0
18,-0.6222382356985884,0.42168678787511443,0.6609213468096207,0,1,0,0,0,0.0,Low,1.0,0.0,0.3660609355793928,0,0,0,0.0
19,0.7760964873768269,0.8680578981483386,-0.9792275892090253,0,3,0,0,0,0.0,Low,1.0,0.0,-0.9828394648787404,0,0,0,0.0
20,1.2939982366640177,-1.1406120980811698,-0.24636954226610663,0,1,0,0,0,0.0,Low,1.0,0.0,0.0484438779144745,0,0,0,0.0
21,0.4135652628757933,0.8680578981483386,0.6969802169282491,0,1,0,0,0,0.0,Low,1.0,0.0,0.2588264593054441,0,0,0,0.0
22,1.3457884115927368,-0.2478698775347217,0.9186723537797928,0,3,0,1,1,0.6000000000000001,High,0.0,0.0,0.8558727779987924,0,0,1,0.0
23,-0.984769460199622,-0.4710554326713337,0.7799029064959997,0,1,0,0,0,0.0,Low,1.0,0.0,0.8345181304925523,0,0,0,0.0
24,1.4493687614501751,-0.024684322398109648,-0.7523942738525145,0,1,0,1,0,0.2,Low,1.0,0.0,-0.7208209450148789,0,0,1,0.0
25,1.4493687614501751,-1.586983208354394,-1.1611462132309343,0,2,0,0,0,0.0,Low,1.0,0.0,-0.9677935478990389,0,0,0,0.0
26,0.6725161375193888,-0.024684322398109648,-1.029283459048594,0,1,0,0,0,0.0,Low,1.0,0.0,-0.9649973026284691,0,0,0,0.0
27,1.4493687614501751,-0.9174265429445578,-0.20128536153024212,0,1,0,0,0,0.0,Low,1.0,0.0,0.017750479390515973,0,0,0,0.0
28,0.879676837234265,-0.024684322398109648,-0.10937973369557127,0,1,0,0,0,0.0,Low,0.0,1.0,-0.15377478827562652,0,0,0,0.0
29,1.0868375369491414,1.7608001186947866,-0.20516949364251114,0,2,0,0,0,0.0,Low,1.0,0.0,-0.5334224753957976,0,0,0,0.0
30,1.5529491113076133,-0.2478698775347217,-0.9672785864200085,0,1,0,0,0,0.0,Low,1.0,0.0,-0.8904210053221291,0,0,0,0.0
31,-1.606251559344251,0.8680578981483386,-0.6359691793018472,0,1,0,1,0,0.2,Low,1.0,0.0,-0.7285677276807303,0,0,1,0.0
32,0.879676837234265,-1.3637976532177818,2.058064853767945,0,1,0,0,0,0.0,Low,1.0,0.0,2.983941228801021,0,0,0,0.0
33,-1.3990908596293747,0.1985012327385024,0.15426102996847785,0,1,0,0,0,0.0,Low,0.0,1.0,0.01567405172148609,0,0,0,0.0
34,-0.6740284106273075,0.6448723430117265,-0.26341735120977455,0,1,0,0,0,0.0,Low,0.0,1.0,-0.41694412810284764,0,0,0,0.0
